country_or_area,element,year,unit,value,category
Africa,Production Quantity,2007.0,tonnes,132723726.0,cereals_rice_milled_eqv
Africa,Production Quantity,2006.0,tonnes,142785819.0,cereals_rice_milled_eqv
Africa,Production Quantity,2005.0,tonnes,135919955.0,cereals_rice_milled_eqv
Africa,Production Quantity,2004.0,tonnes,127552204.0,cereals_rice_milled_eqv
Africa,Production Quantity,2003.0,tonnes,126353728.0,cereals_rice_milled_eqv
Africa,Production Quantity,2002.0,tonnes,113676476.0,cereals_rice_milled_eqv
Africa,Production Quantity,2001.0,tonnes,110644985.0,cereals_rice_milled_eqv
Africa,Production Quantity,2000.0,tonnes,105846978.0,cereals_rice_milled_eqv
Africa,Production Quantity,1999.0,tonnes,107917611.0,cereals_rice_milled_eqv
Africa,Production Quantity,1998.0,tonnes,110372892.0,cereals_rice_milled_eqv
Africa,Production Quantity,1997.0,tonnes,104593903.0,cereals_rice_milled_eqv
Africa,Production Quantity,1996.0,tonnes,119812158.0,cereals_rice_milled_eqv
Africa,Production Quantity,1995.0,tonnes,92907565.0,cereals_rice_milled_eqv
Africa,Production Quantity,1994.0,tonnes,105682169.0,cereals_rice_milled_eqv
Africa,Production Quantity,1993.0,tonnes,95206449.0,cereals_rice_milled_eqv
Africa,Production Quantity,1992.0,tonnes,84860237.0,cereals_rice_milled_eqv
Africa,Production Quantity,1991.0,tonnes,100406717.0,cereals_rice_milled_eqv
Africa,Production Quantity,1990.0,tonnes,89183400.0,cereals_rice_milled_eqv
Africa,Production Quantity,1989.0,tonnes,94994405.0,cereals_rice_milled_eqv
Africa,Production Quantity,1988.0,tonnes,92163997.0,cereals_rice_milled_eqv
Africa,Production Quantity,1987.0,tonnes,80365690.0,cereals_rice_milled_eqv
Africa,Production Quantity,1986.0,tonnes,85057477.0,cereals_rice_milled_eqv
Africa,Production Quantity,1985.0,tonnes,80101385.0,cereals_rice_milled_eqv
Africa,Production Quantity,1984.0,tonnes,62980937.0,cereals_rice_milled_eqv
Africa,Production Quantity,1983.0,tonnes,62727867.0,cereals_rice_milled_eqv
Africa,Production Quantity,1982.0,tonnes,68895082.0,cereals_rice_milled_eqv
Africa,Production Quantity,1981.0,tonnes,74731483.0,cereals_rice_milled_eqv
Africa,Production Quantity,1980.0,tonnes,69744223.0,cereals_rice_milled_eqv
Africa,Production Quantity,1979.0,tonnes,63076211.0,cereals_rice_milled_eqv
Africa,Production Quantity,1978.0,tonnes,66869194.0,cereals_rice_milled_eqv
Africa,Production Quantity,1977.0,tonnes,63750726.0,cereals_rice_milled_eqv
Africa,Production Quantity,1976.0,tonnes,68049239.0,cereals_rice_milled_eqv
Africa,Production Quantity,1975.0,tonnes,66125827.0,cereals_rice_milled_eqv
Africa,Production Quantity,1974.0,tonnes,68709038.0,cereals_rice_milled_eqv
Africa,Production Quantity,1973.0,tonnes,55039598.0,cereals_rice_milled_eqv
Africa,Production Quantity,1972.0,tonnes,62212263.0,cereals_rice_milled_eqv
Africa,Production Quantity,1971.0,tonnes,63187591.0,cereals_rice_milled_eqv
Africa,Production Quantity,1970.0,tonnes,58045487.0,cereals_rice_milled_eqv
Africa,Production Quantity,1969.0,tonnes,57499427.0,cereals_rice_milled_eqv
Africa,Production Quantity,1968.0,tonnes,55631307.0,cereals_rice_milled_eqv
Africa,Production Quantity,1967.0,tonnes,59160864.0,cereals_rice_milled_eqv
Africa,Production Quantity,1966.0,tonnes,46797276.0,cereals_rice_milled_eqv
Africa,Production Quantity,1965.0,tonnes,50131774.0,cereals_rice_milled_eqv
Africa,Production Quantity,1964.0,tonnes,49460170.0,cereals_rice_milled_eqv
Africa,Production Quantity,1963.0,tonnes,52631127.0,cereals_rice_milled_eqv
Africa,Production Quantity,1962.0,tonnes,51197679.0,cereals_rice_milled_eqv
Africa,Production Quantity,1961.0,tonnes,44841542.0,cereals_rice_milled_eqv
Asia,Production Quantity,2007.0,tonnes,948870725.0,cereals_rice_milled_eqv
Asia,Production Quantity,2006.0,tonnes,926862892.0,cereals_rice_milled_eqv
Asia,Production Quantity,2005.0,tonnes,894130983.0,cereals_rice_milled_eqv
Asia,Production Quantity,2004.0,tonnes,855654033.0,cereals_rice_milled_eqv
Asia,Production Quantity,2003.0,tonnes,820964926.0,cereals_rice_milled_eqv
Asia,Production Quantity,2002.0,tonnes,811302328.0,cereals_rice_milled_eqv
Asia,Production Quantity,2001.0,tonnes,820020423.0,cereals_rice_milled_eqv
Asia,Production Quantity,2000.0,tonnes,814626770.0,cereals_rice_milled_eqv
Asia,Production Quantity,1999.0,tonnes,851145157.0,cereals_rice_milled_eqv
Asia,Production Quantity,1998.0,tonnes,839525499.0,cereals_rice_milled_eqv
Asia,Production Quantity,1997.0,tonnes,817015212.0,cereals_rice_milled_eqv
Asia,Production Quantity,1996.0,tonnes,823052886.0,cereals_rice_milled_eqv
Asia,Production Quantity,1995.0,tonnes,778001194.0,cereals_rice_milled_eqv
Asia,Production Quantity,1994.0,tonnes,759659313.0,cereals_rice_milled_eqv
Asia,Production Quantity,1993.0,tonnes,775216157.0,cereals_rice_milled_eqv
Asia,Production Quantity,1992.0,tonnes,769658681.0,cereals_rice_milled_eqv
Asia,Production Quantity,1991.0,tonnes,710596584.0,cereals_rice_milled_eqv
Asia,Production Quantity,1990.0,tonnes,713517483.0,cereals_rice_milled_eqv
Asia,Production Quantity,1989.0,tonnes,673867466.0,cereals_rice_milled_eqv
Asia,Production Quantity,1988.0,tonnes,653137795.0,cereals_rice_milled_eqv
Asia,Production Quantity,1987.0,tonnes,622262626.0,cereals_rice_milled_eqv
Asia,Production Quantity,1986.0,tonnes,630195058.0,cereals_rice_milled_eqv
Asia,Production Quantity,1985.0,tonnes,610283629.0,cereals_rice_milled_eqv
Asia,Production Quantity,1984.0,tonnes,626582614.0,cereals_rice_milled_eqv
Asia,Production Quantity,1983.0,tonnes,606423047.0,cereals_rice_milled_eqv
Asia,Production Quantity,1982.0,tonnes,548243359.0,cereals_rice_milled_eqv
Asia,Production Quantity,1981.0,tonnes,533377589.0,cereals_rice_milled_eqv
Asia,Production Quantity,1980.0,tonnes,512086289.0,cereals_rice_milled_eqv
Asia,Production Quantity,1979.0,tonnes,508314012.0,cereals_rice_milled_eqv
Asia,Production Quantity,1978.0,tonnes,500067541.0,cereals_rice_milled_eqv
Asia,Production Quantity,1977.0,tonnes,460740141.0,cereals_rice_milled_eqv
Asia,Production Quantity,1976.0,tonnes,459546983.0,cereals_rice_milled_eqv
Asia,Production Quantity,1975.0,tonnes,451564819.0,cereals_rice_milled_eqv
Asia,Production Quantity,1974.0,tonnes,414337444.0,cereals_rice_milled_eqv
Asia,Production Quantity,1973.0,tonnes,409546419.0,cereals_rice_milled_eqv
Asia,Production Quantity,1972.0,tonnes,384683370.0,cereals_rice_milled_eqv
Asia,Production Quantity,1971.0,tonnes,393085698.0,cereals_rice_milled_eqv
Asia,Production Quantity,1970.0,tonnes,384372942.0,cereals_rice_milled_eqv
Asia,Production Quantity,1969.0,tonnes,359107303.0,cereals_rice_milled_eqv
Asia,Production Quantity,1968.0,tonnes,351675077.0,cereals_rice_milled_eqv
Asia,Production Quantity,1967.0,tonnes,343132477.0,cereals_rice_milled_eqv
Asia,Production Quantity,1966.0,tonnes,323911634.0,cereals_rice_milled_eqv
Asia,Production Quantity,1965.0,tonnes,308710084.0,cereals_rice_milled_eqv
Asia,Production Quantity,1964.0,tonnes,310088847.0,cereals_rice_milled_eqv
Asia,Production Quantity,1963.0,tonnes,294725549.0,cereals_rice_milled_eqv
Asia,Production Quantity,1962.0,tonnes,278366749.0,cereals_rice_milled_eqv
Asia,Production Quantity,1961.0,tonnes,263347433.0,cereals_rice_milled_eqv
Europe,Production Quantity,2007.0,tonnes,395020302.0,cereals_rice_milled_eqv
Europe,Production Quantity,2006.0,tonnes,402876034.0,cereals_rice_milled_eqv
Europe,Production Quantity,2005.0,tonnes,426917681.0,cereals_rice_milled_eqv
Europe,Production Quantity,2004.0,tonnes,469233273.0,cereals_rice_milled_eqv
Europe,Production Quantity,2003.0,tonnes,354619113.0,cereals_rice_milled_eqv
Europe,Production Quantity,2002.0,tonnes,435525931.0,cereals_rice_milled_eqv
Europe,Production Quantity,2001.0,tonnes,430348105.0,cereals_rice_milled_eqv
Europe,Production Quantity,2000.0,tonnes,383794823.0,cereals_rice_milled_eqv
Europe,Production Quantity,1999.0,tonnes,374896289.0,cereals_rice_milled_eqv
Europe,Production Quantity,1998.0,tonnes,385631320.0,cereals_rice_milled_eqv
Europe,Production Quantity,1997.0,tonnes,440138496.0,cereals_rice_milled_eqv
Europe,Production Quantity,1996.0,tonnes,389885623.0,cereals_rice_milled_eqv
Europe,Production Quantity,1995.0,tonnes,375275625.0,cereals_rice_milled_eqv
Europe,Production Quantity,1994.0,tonnes,382806353.0,cereals_rice_milled_eqv
Europe,Production Quantity,1993.0,tonnes,412043024.0,cereals_rice_milled_eqv
Europe,Production Quantity,1992.0,tonnes,405887638.0,cereals_rice_milled_eqv
Europe,Production Quantity,1991.0,tonnes,458099539.0,cereals_rice_milled_eqv
Europe,Production Quantity,1990.0,tonnes,492331908.0,cereals_rice_milled_eqv
Europe,Production Quantity,1989.0,tonnes,479154828.0,cereals_rice_milled_eqv
Europe,Production Quantity,1988.0,tonnes,456428350.0,cereals_rice_milled_eqv
Europe,Production Quantity,1987.0,tonnes,458773407.0,cereals_rice_milled_eqv
Europe,Production Quantity,1986.0,tonnes,467668636.0,cereals_rice_milled_eqv
Europe,Production Quantity,1985.0,tonnes,451429588.0,cereals_rice_milled_eqv
Europe,Production Quantity,1984.0,tonnes,456613875.0,cereals_rice_milled_eqv
Europe,Production Quantity,1983.0,tonnes,428561431.0,cereals_rice_milled_eqv
Europe,Production Quantity,1982.0,tonnes,436536131.0,cereals_rice_milled_eqv
Europe,Production Quantity,1981.0,tonnes,386187108.0,cereals_rice_milled_eqv
Europe,Production Quantity,1980.0,tonnes,426948738.0,cereals_rice_milled_eqv
Europe,Production Quantity,1979.0,tonnes,401386254.0,cereals_rice_milled_eqv
Europe,Production Quantity,1978.0,tonnes,463045150.0,cereals_rice_milled_eqv
Europe,Production Quantity,1977.0,tonnes,405226796.0,cereals_rice_milled_eqv
Europe,Production Quantity,1976.0,tonnes,419311791.0,cereals_rice_milled_eqv
Europe,Production Quantity,1975.0,tonnes,344494322.0,cereals_rice_milled_eqv
Europe,Production Quantity,1974.0,tonnes,407811557.0,cereals_rice_milled_eqv
Europe,Production Quantity,1973.0,tonnes,419325472.0,cereals_rice_milled_eqv
Europe,Production Quantity,1972.0,tonnes,371050436.0,cereals_rice_milled_eqv
Europe,Production Quantity,1971.0,tonnes,378043937.0,cereals_rice_milled_eqv
Europe,Production Quantity,1970.0,tonnes,349768222.0,cereals_rice_milled_eqv
Europe,Production Quantity,1969.0,tonnes,339889953.0,cereals_rice_milled_eqv
Europe,Production Quantity,1968.0,tonnes,343357341.0,cereals_rice_milled_eqv
Europe,Production Quantity,1967.0,tonnes,321430095.0,cereals_rice_milled_eqv
Europe,Production Quantity,1966.0,tonnes,325516749.0,cereals_rice_milled_eqv
Europe,Production Quantity,1965.0,tonnes,276363656.0,cereals_rice_milled_eqv
Europe,Production Quantity,1964.0,tonnes,295721595.0,cereals_rice_milled_eqv
Europe,Production Quantity,1963.0,tonnes,249370353.0,cereals_rice_milled_eqv
Europe,Production Quantity,1962.0,tonnes,280703834.0,cereals_rice_milled_eqv
Europe,Production Quantity,1961.0,tonnes,263094177.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2007.0,tonnes,460280838.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2006.0,tonnes,384246706.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2005.0,tonnes,414135103.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2004.0,tonnes,436369501.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2003.0,tonnes,394473768.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2002.0,tonnes,329981578.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2001.0,tonnes,365221427.0,cereals_rice_milled_eqv
Northern America,Production Quantity,2000.0,tonnes,391015910.0,cereals_rice_milled_eqv
Northern America,Production Quantity,1999.0,tonnes,386518783.0,cereals_rice_milled_eqv
