Country,year,Agricultural land (% of land area),Agricultural water withdrawal as % of total renewable water resources,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)",Fertilizer consumption (kilograms per hectare of arable land),Forest area (% of land area),Permanent cropland (% of land area)
Africa,1960,,,41.03711419,5039079702,,,
Africa,1961,38.32946704,,40.11299024,5342556327,13.31978891,,2.268256264
Africa,1962,38.41096281,,40.14612038,5374348601,14.27420748,,2.290588426
Africa,1963,38.49999405,,40.67923733,5750808938,15.76332177,,2.307902041
Africa,1964,38.61142241,,38.59969984,6097494803,16.54201624,,2.332943907
Africa,1965,38.753539,,36.7130138,8359605913,16.29499039,,2.375705374
Africa,1966,38.80188867,,34.93123291,8791882086,13.92846522,,2.39518405
Africa,1967,38.9485695,,34.66637944,9215525634,15.57351809,,2.415579209
Africa,1968,39.07982178,,33.56556491,9469989033,15.31081943,,2.426917243
Africa,1969,39.28313555,,32.73649868,10116544320,16.24868836,,2.463547978
Africa,1970,39.30692366,0.238623646,33.50994557,11169345453,17.93705201,,2.522908337
Africa,1971,39.39214876,0.253333018,32.85235903,12199307719,19.1413626,,2.561324902
Africa,1972,39.54693422,0.268042389,33.69370398,13738770355,21.58957449,,2.59198852
Africa,1973,39.69463918,0.28275176,33.90848044,17069410765,19.06669749,,2.644686103
Africa,1974,39.84968665,3.552239325,32.39156272,19977239879,19.34774454,,2.677706616
Africa,1975,39.78698651,3.562045572,32.46864954,22627700562,19.54742985,,2.723176737
Africa,1976,39.96243086,3.699798111,31.27993268,23733033078,48.39734109,,2.751340909
Africa,1977,40.05588992,3.837550649,31.84306327,27222877139,50.48869587,,2.801666578
Africa,1978,40.22401882,3.975303188,30.67947834,29804153201,55.88691024,,2.868498297
Africa,1979,40.18999581,4.113055726,29.92409537,32769566768,66.17313513,,2.874698252
Africa,1980,40.14517064,8.52110057,27.86000834,35797127252,51.52021202,,2.892670172
Africa,1981,40.27148157,9.02452007,27.76483727,59864226934,28.38034806,,2.949776347
Africa,1982,40.37920262,9.52793957,26.93735118,57380971445,48.61776632,,2.939628371
Africa,1983,40.46001935,10.03135907,26.27699982,51368217986,38.80693008,,2.987958887
Africa,1984,40.58034372,9.713998418,25.75203298,50177762992,27.03517783,,3.03217523
Africa,1985,40.77386107,29.68685489,26.42595691,51841389516,28.73890499,,3.079220463
Africa,1986,40.92765664,35.28088945,25.98657459,55249463592,31.1261167,,3.109379656
Africa,1987,41.03072438,17.55471624,26.6698351,62471087169,32.24464524,,3.174824678
Africa,1988,41.1278586,19.32971661,27.12854635,66470360443,29.63662695,,3.195820505
Africa,1989,41.10178113,21.65115661,26.30598272,67078640353,29.20398431,,3.188489991
Africa,1990,41.15708207,23.34198816,25.46933432,79488987104,28.43225312,33.05136431,3.157312212
Africa,1991,41.27773545,22.55328106,24.78650565,87575406794,29.10429481,32.90224496,3.116994207
Africa,1992,41.34907956,21.29254561,24.24399216,67560242049,27.17340222,32.75312562,3.128753443
